text,category
"דיי עם כל הספאם.הגזמתם, אני כל הזמן מסירה מרשימת תפוצה וממשיכה לקבל ממכם דואר זבל.מבקשת להסיר אותי מכל הרימות תפוצה באופן מיידי, ולא להעביר את פרטיי לשום חברה אחרת!",block
"שלום,יש לכם שיווק שותפים?הכוונה שאקבל גמול באחוזים מכל לקוח שאביא לכם?כמוכן, שכל לקוח שכזה יקבל חודשיים חינם לשימוש במערכת דרכי, וכפי שאתם עושים עם משווקים אחרים..",coop
"שלום , האם המערכת גם מנהלת לידים? מיון? גביית כספים הוצאת חשבונית וכו?",sales
נא להסיר מרשימות התפוצה שלכם,block
"מבקשת להסיר את כתובת המייל מכל רשימה שברשותכם!בברכה,דקלה",block
מבקש למחוק מייל שלי מכל הרשימות בהם הוא רשוםלא נתתי את הסכמתי לכם להעביר את המייל לאף אחדאם אמשיך לקבל דואר אגיש תביעה משפתיתממתין לקבל אישור מחיקהתודה מראשסימון שנקמן,block
"שלח לכתובת bnaya15@gmail.com מהכתובת jobs@fitnessjobs.co.ilשולח: פיטנס ג'ובס - כל משרות הכושר בישראלכתובת השולח: אימבר 7 פ""ת ת.ד 3980b,eu tu,h nzv cceav",uncategorized
מתענין בתוכנה לדפי נחיתה המתחברת לפיסבוק,sales
שלום !יש לי חשבון התנסות אצלכם במהלכו התנסיתי עם מערכת דפי נחיתה ובניתי את הדף הבא~http://adiosher.ravpage.co.il/albumהבעיה היא שאני לא זוכרת את המייל המקורי שלי שאיתו נרשמתי לישראטקהאם תוכלו לעזור לי לזכור אותו כדי שאוכל להיכנס למערכת?הוא אמור ,support
שלום הכנסתי את פרטי לפי הבקשה. והתשובה היתה שהמייל לא תקין.,support
"מבקש הצעת מחיר לשליחה חודשית של דיוור ל50,000 אימיילים",sales
"לגבי שיתוף פעולה - אירוע TEDx.הי, שמי ליבי ואני מפיקה אירוע TEDx, ויש לי זיכיון מטעם TED העולמי להפיק את אחד מאירועי ה- TEDx הגדולים שיהיו בישראל. באירוע שיתקיים בעוד כחודשיים צפויים להיות כ- 850 איש. כפלטפורמת האימיילים הגדולה בארץ, אני רוצה לבדוק אפשר",coop
שלום שם משתמש שלי הוא dgl770. אני אשמח אם אקבל שוב רשיון זמני לשימוש במערכת. תודה. אליהו,support
לקוחותיכם מבצעים שליחות ספאם באופן קבוע שומעון אלמאלם האחרון מביניהם. אשמח לקבל הסבר על שיטת אפס הסובלנות שלכם.,block
אנא הפסיקו למען אותי בדואר זבל פרסומות וכל דבר דומה,block
"שלום,האם כתובת דואר אלקט ב-WALLA היא תקינה על פי דרישות המערכת שלכם? אם לא, איזו מומלצת על ידכם?תודה,יוכי שוורץ",support
בבקשה להסיר את המייל מי רשימת התפוצה שלכם.,block
מצורפים כאן פרטי הנייד שלי ופרטי המייל. אני דורש למחוק אותי באופן מיידי מרשימות התפוצה שלכם. במידה ואקבל הודעה נוספת שמקורה במאגר המידע שלכם אראה הזהרה זו כעילה מספקת לתביעה. תודה,block
אבקש להסיר אותי  מכל אפא שאני מופיעה אצליכם,block
"שלום, לא יתכן שאני ממשיכה לקבל דואר אחרי שבקשתי להסיר אותי מהרשימה, זהו איננו נוהל תקין!!!  saragr@netvision.net.il",block
"הי שלום  , נרשמתי להתנסות חינם ועדיין לא ניסיתי האם אפשר שוב לקבל את ההתנסות .תודה ויום טוב",support
מחקו אותי מרשימותיכם! אין לי שום עניין במה שאתם מפיצים. אני שונא את הטרדותיכם.,block
נא להסיר אותי מרשימת התפוצה שלכם!!!,block
"היי,התחלתי להשתמש בשירות שלכם לאחרונה. יש לי חודש התנסות חינם ואני רוצה לקבל הצעת מחיר מכם להמשך בתשלום וממתי.בברכה,שושי הרשקו",sales
ברצוני שתסירו את הכתובת מייל שלי מכל האתרים שלכם יש לי דואר זבל בכמויות ממכם ללא שליטה אני ממש לא מעוניינת בכך זה מפריע לי להתנהלות עבודה תקינה....  במידה ולא תסירו ישלח מכתב תביעה על פי חוק.,block
"נא להסיר אותי מרשימת הדוור, נא לא לשלוח לי מיילים, נא לא להפנות את הלקוחות שלכם למייל שלי",block
"איזו תמונה יפה אתם מציגים, נשים גברים צעירים. אבל... בעמדת ניהול אין לכם אפילו אישה אחת , רק גברים.הנשים עושות את העבודה ובמה הם זוכות?.................",uncategorized
"הי אני לקוחה שלכם , האם יש אופציה לחבר את האתר שלי מwix לרשימות תפוצה שלכם?",support
"שלום, אשמח שתחזרו אליי בנוגע לשימוש בשירותי VIDOO בלבד. תודה ,אופיר",sales
אנא הסירו אותי מכל דואר אלקט שאני מקבלת דרך ישראטק אני מנסה להקטין את כמות הדואר האלקט שאני מקבלת . תודה,block
מבקשת להוציא את המיל שלי מרשימות התפוצה.,block
"מבקש הצעת מחיר, כולל העברת כל המסרים ממערכת מתחרה שלכם",sales
היי אני רוצה להירשם למערכת.אשמח אם תיצרו איתי קשרתודהיגאל עלוש,sales
אשמח לקבל מידע נוסף על המערכת שלכם,sales
"שלום,יש לנו חשבון אצלכם על שם אילנית תדמור.אני אשמח לקבל עלויות של חבילת sms, לפי כמויות.האם זה מתמשק אל תוך קובץ אקסל?יכולים לענות לי במייל, אני פחות זמינה טלפונית.תודה ה,חן",support
דורש להסיר את שמי ואת המסרים שאתם שולחים לתיבת הדואל שלי,block
איך מסירים את עצמי מהמערכת שלכם?,block
"שלום , אני רוצה לפרסם מוצר חדש ואין לי רשימת תפוצה, אתם יכולים לעזור לי עם זה?",sales
ראיתי את פרסומכם אודות ישראטק ורציתי להצטרףפרסמתם שאפשר להצטרף דרך נציג בטלפוןאבל כשהתקשרתי התעקשה הפקידה כי עלי לפתוח חשבון ניסיון אמרתי לה שאינני צריך נסיון אני רוצה להתחיל לעבוד עם זה היא התעקשה רק לפתוח חשבון ניסיון פתחתי חשבון אבל קצת קיבלתי רגלי,sales
"אני מעוניינת בהצעת מחיר עבור 70,000 מיילים.חזרו אלי במהרה עם מחיר אטרקטיבי.הילה שבתאימנכ""ל FRESH פתרונות שיווקwww.pirsum4u.com",sales
בבקשה להוריד כתובות מייל זו מכל רשימות התפוצהתודה,block
היי. האם אני יכולה לשלוח במייל חוזר אוטומטי כמובן על ידי המערכת מייל המכיל קובץ? איך עושים זאת? רוצה לשלוח מדריך שהכנתי. תודה.,support
שלום לכם אני עוברת דירה אצל אנשים זרים לא מישפחה ואני מעוניינת שכל דואר שנשלח במ.ס.ר יגיע אך ורק לתא הדואר שיש ברשותי מזה שנים בשיכון ראשון לציון 2257  תודה ה החל מחודש מאי הקרוב תודה שרית כהן אני מבקשת לא לשלוח כלום במייל אני לא משתמשת בו רק להתקשר לני,uncategorized
ברצוני לקבל פרטים חדשים.,support
"הי, אני צריך טוקנים לוורדפרס עבור החשבון הזה (של טל ונונו)האתר הוא gotouman.comתודה",support
מבקש להסיר אותי מרשימת התפוצה של sichatchaverim@gmail.com,block
"האם ניתן לייצר שדה מותאם אישית בו הנרשם יכול לבחור את המדינה שלו מסה""כ המדינות?",support
"תסירו את הכתובת אי מייל מהרשימות שלכם.ראה הוזהרתםעו""ד עמנואל ליאון",block
אני מבקשת שלא תשלחו לי יותר שום ואף הודעה זאת או אחרת כי הן הודעות פירסומיות שהן גם לא רלוונטיות עבורי ומה שגם שיש להן ערך ממש נמוך,block
איחסון קורס דיגיטלי,sales
"שיניתי הדוא""ל מ chaim@shlombait.com  עכשיו  chaim.khanin@gmail.com",support
אהלןלא עקבתי בתקופה האחרונה אחרי המיילים ולא שמתי לב שנגמרת תקופת התשלום. אשמח להסדיר תשלום ובמידת האפשר לשחזר את החשבון שלי. תודה. הדר,support
שלום אני מקבל מחברות שונות באמצעותכם מיילים על בסיס יומי ולא מצליח להוציא את עצמי מרשימת התפוצה. הדואר משתנה לro.efrat@gmail.com בעת הדיווח ואין לי אפשרות לדווח על המייל שלי. בבקשה הסירו אותי מכל הדואר של ישראטק כי אין לי עניין בו.,block
אבקש שתוציאו את האמייל שלי מרשימת התפוצה שלכם מידית איני מעוניינת לקבל מסרים מכם,block
מבקש שנציג ייצור איתי קשר לגבי שימוש במערכת שלכם בישראטקתודה אורן שלום,sales
"שלום, אני מדוורת בערך פעם בחודש. אנשים נרשמים אצלי באתר, בטופס כדי לקבל מדיטציה במתנה. בניוזלטרים שלי יש גם הפניה לרכישת מדיטציות בחנות. מה הנוסח שעלי להוסיף מתחת לטופס על מנת שאנשים יאשרו שהם רשומים (בהתאם לחוק הספאם)? תודה מראש. רינת",uncategorized
נא להסיר אותי מרשימת התפוצה של יוחאי לשם.,block
"האם המערכת מתאימה גם לדיוורים בשפה האנגלית?האם אין שום טקסט בעברית שמצורף לדיוור כגון שורת כתובת, השם של ישראטק בעברית וכו'?תודה",sales
חסמו את החשבון מייל שלי,block
"שלום,נשמח לקבל העתק של חשבונית מס/קבלה : 02/402375 משנת 2016.תודה",support
הייתי בכנס בירושלים - עסקים חרדים. אני לא חרדי. אני פונה לקהל החרדי יותר ויותר. דיברתי בדוכן שלכם עם בחור ובחורה. נרשמתי לחודש נסיון. אני מאוד מעונין להתקדם אבל הייתי עסוק ולא היה לי זמן להתחיל בנסיון. אבקש הדרכה כיצד להתחיל בשימוש בישראטק. יתכן שבשלב ז,sales
נא הסירו את כתובתי מרשת התפוצה שלכם.,block
"הנכם נדרשים בזאת לחדול מהעברת כל דיוור פרסומי עבור לקוחותיכם, בקשר לכל מאגר מידע שהוא, למייל הנקוב.התראות נוספות לא תימסרנה!",block
"אני מקבל המון דואר זבל מלקוחותיכם. לות כאלה (יבגני ואלעד מומחי הנדל""ן) ששולחים מידע בעל ערך אינפורמטיבי מזערי בכמויות מופרכות.אבקשכם להסיר באופן מיידי את הכתובת שלי מכל רשימות התפוצה שלכם. תודה ה.",block
"היי,אני צריך טוקנים לzapier.חג שמח!!",support
אני מעוניין לפתוח חשבון לבית ספרי אצלכם. כיצד אני עושה זאת?,sales
אבקש להסיר אותי מכל רשימות התפוצה שלכם בבקשהאיבדתי שליטה על האימייל שלי,block
"איני מעוניין לקבל מכם או מלקוחות שלכם או כל גורם כלשהו שקשור אליכם דיוור /ים מורשים ו/או לא מורשים. לכן אבקש להסיר את כתובתי מרשימות התפוצה שלכם ו/או מכל מאגר מידע שלכם . במידה ואקבל להבא דיוור שקשור אליכם בכל אופן שהוא, בין אם ישיר או עקיף,   אדווח על כך",block
לא זכור לי שנרשמתי .אבקש להסיר את כתובת האימייל שלי .תודה,block
עוד פעם אחת מקבל דואר לא מורשה אני תובע אותכם! עשרות פעמים ביטלתי את הדיוור ממכם ואני ממשיך לקבל מיילים של ebay מהמערכת שלכם. הסירו אותי מכל רשימת תפוצה או שנפגש בבית משפט.,block
נא להסיר אותי מרשימת התפוצהתודה,block
מעוניינת להתייעץ ולקבל הצעה,sales
אני מבקש שתמחקו את המייל שלי מכל הרשומות שלכם.לא מעוניין לקבל מיילים משום גורם!,block
שלום זו לא הפעם הראשונה שאנו פונים אליכם ומתריעים על כך שמחלקי הדואר שלכם בבניין שלנו ברחבת קרן היסוד 5 רמת אילן גבעת שמואל אינם קוראים את מי הנמען ומכניסים דברי דואר שאינם שייכים. לא אחת אנו מוצאים דברי דואר המיועדים לקריית אונו המוכנסים לת.ד. של הבנ,uncategorized
"שלום , מכיוון שאני מקבל מהתוכנה שלכם מיילים מחברות שלא נתתי להם את המייל שלי אלא כנראה השיגו אותו במרמה ... איך אני מבטל כל יכולת לקבל מכם מיילים , מכל חברה כזאת או אחרת ?(מכיוון שהמייל שלי הושג ע""י מספר חברות באופן לא חוקי , אי חסימה של המייל שלי",block
"היי. אתמול שלחתי בקשה להסיר אותי מרשימת התפוצה של ""שתי הלכות ביום"" בטעות. משניסיתי להצטרף לשירות הדיוור שוב נתקלתי בכשל להירשם, ואני מניח שהדבר קשור לכך שביקשתי בטעות לא לקבל יותר מסרים כלל מהשולח הזה. אבקש את עזרתכם בחידוש ההרשמה לשירות ובביטול החסימה.",support
לא לשלוח לי כלום,block
נא לא לשלוח אליי אימיילים לדואר הרשום. תודה,block
נא לא לשלוח אלינו מיילים יותרובשום נושא,block
"נא לא לשלוח דוא""ל למייל זה",block
נא להסיר אותי מרשימת התפוצה,block
אבקש להסיר אותי מכל מערכת דיוור שלכם,block
תסירו אותי מרשימת התפוצה,block
להסיר אותי מכל רשימות התפוצה שלכם,block
כבר כמה פעמים בקשתי שתחדלו לשלוח לי פרסום. במדה ואקבל דוור ״זבל״ נוסף מכם אפנה למערכת המשפט.  9.1.2014,block
הנכם נדרשים להוריד מיידית את כתובת המייל שלי .והיה ולא כן תיתבעו לדיןתודה,block
אבקש שתסירו אותי מכל רשימות התפוצהבנוסף גם מכתובות המייל הבאות:haim.fried@gmail.comhaim.fried@aora-solar.comתודה,block
נא להסיר כתובת המייל הנ״ל מכל רשימות התפוצה אצלכם בהקדם!,block
בבקשה להסיר אותי מרשימות שלכם אני משנש עבודה והאימייל לא יהיה פרטי שליתודה,block
"אין לי מושג איך אתם מגיעים אלי, אני כל פעם מסירה את הכתובת שלי וממשיכה לקבל דואר זבל מכם.נא להסיר במיידי!!!",block
"אנא הסירו אותי במיידית ולאלתר מכל רשימות התפוצה שלכם!בברכה, תומר בהט.",block
לא לשלוח לי שום ישראטק!פעם הבאה כבר תוגש תביעה!,block
אבקש להסיר אותי מרשימת התפוצה,block
"מבקש להסיר אותי מכל רשימות התפוצה של ""ישראטק""",block
הואילו להסיר את כתובתי מכל רשימותיכם,block
קיבלתי מיילים מ AP השקעות.אין לי מושג איך הגעתם אלי ואני לא מוכנה שתמשיכו לשלוח לי מיילים ללא רשותי.אודה להסרתי מכל רשימות התפוצה שלכם.תודה יום טוב.,block
נא להסיר אותי לחלוטין מרשימות תפוצה כלשהן,block
נא להסיר אותי מכל רשימות התפוצה של מערכת ישראטק. תודה,block
נא להוציא מיד את כתובתי מרשימותכם.תודה,block
this is your last warningyou have spammed my emailin the next 72 hours if I don't get a personal telephone from your CEO I will destroy your serverthis is not a threat this is a promise and we have all needed tools to do just thatdaniel chenpres,block
ברצוני להפסיק לקבל מיילים מלקוחותיכם באמצעות מערכת - מסר . אני פונה אליכם ודורש ממכם להסיר את המייל שלי מהמיילים אותם מקבלים לקוחותיכם נא עדכנו אותי שעתם זאת כל טוב ולהתראותערן,block
"מבקש להוריד אותי מהמאגר שלכם.מסך זה מצולם.שליחה דרך המערכת שלכם שוב, תגרור תביעת SPAM.בברכה,עו""ד אברהם.",block
"שלום,בבקשה תסירו אותי מכל רשימת תפוצה ושימו אותי בחסימה. לא רוצה לקבל מהמערכת שלכם שום דואל משום גורם בשום צורה ובשום מצב.תדה ה, יוסי",block
בעבר הייתי מקבל מיילים מכתובת sh2111@bezeqint.netכיום אני מקבל מחברת 2 הלכות מיילים מכתובת אחרת אבל מהכתובת הזאת כבר לא למרות שנרשמתי אצלם שוב ושוב הדקתי את הגדרות הספם שלי בgmail ולא ראיתי חסימה מה ניתן לעשות ?,support
מספיק לשלוח דאר זבל נמאסתם!!!!!!,block
"שלום , אני מעוניינת לרכוש את המערכת עבור עמותת ילדים שלנו בבית חולים שניידר . האם יש אפשרות לשלם על המנוי בהוראת קבע או צ'קים ? לעמותה אין כרטיס אשראי. תודה ה , בברכה,כרמל צדיק רכזת אירועים וקשרי ציבור .עמותת ילדים שלנן - מרכז שניידר לילדים .",sales
בבקשה להוציא אותי מרשימת הדיוור ולהפסיק לשלוח לי מיילים פרסומיים.תודה,block
"שלום ,הנני מנויה אצלכם ודרושה לי הדרכה בהפעלת המערכת.אודה לתאום.מירה",support
אני מקבלת הה מדי מיילים דרככם ממפרסמים שמעולם לא נרשמתי לרשימות התפוצה שלהם. מה שמעיד על כך שאתם מנגישים את הכתובת שלי למפרסמים שמעולם לא יצרתי איתם קשר. חמור ביותר. לא אהסס לתבוע אם יקרה פעם נוספת.,block
"הי! זה טלפון חו""ל, אז לספור בבקשה 7 שעות אחורה אם מתקשרים. אני גרה בקנדה ופותחת עסק חדש ללקוחות קנדים. האם המערכת יכולה לעבוד גם מכאן? או שזה רק בישראל? לי כבעלת העסק נוח לעבוד בעברית אבל כל המסרים שאני שולחת יצטרכו כמובן להיות באנגלית. אשמח לתשובתכם. תוד",sales
האם אפשר לשים טופס הרשמה גם באתרים סלולרים?,support
אשמח לקבל הצעת מחיר וכן לדעת כיצד אפשר להעביר רשימת תפוצה שיש לי באתר לתוך המערכת פה. תודה,sales
"שלום,אני מעוניינת לדעת מהם העלויות לשימוש בשרות שלכם  לדיוור ישיר והאם יש לכם תנאים מיוחדים עבור ארגונים ללא כוונת רווח?תודה",sales
"שלום, אני לא מצליחה לראות את הסרטון של הניוזלטר באתר לא בקישור למעלה ולא בקישור בהמשך",support
"יש לי רשימת תפוצה של פחות מ500 ואני שולחת ניוזלטר פעם בחודש - חודשיים. אבקש הצעת מחירתודה,נגה",sales
please take me off your e-mail list since I do not live in Israel now.  thank you!,block
שלום.אני מעוניין בשליחת 50K מיילים.,sales
"אני מבקשת להפסיק לשלוח לי מיילים אחרת אתבע אותכם על הטרדה!!!תודה,",block
אני מבקש להסיר אותי מרשימת התפוצה לאלתר!!נמאס לקבל מימכם ספאם!!,block
הייתי רוצה לקבל הדרכה ממכם על פיצ'רים מתקדמים במערכת.אני לא לומד טוב דרך סרטונים אלא יותר באחד על אחד.אשמח אם תחזרו אלי.היני לקוח שלכם קרוב ל3 שנים.,support
בבבקשה תחזרו אלי לגבי הצע מחיר זה די דחוף לימור עונת התות בירושליים,sales
"שלום ,בבקשה (!) הסירו אותי מכל רשימת תפוצה אפשרית שלכם.מפריע לי מאוד כל הספאם שאני מקבלת.כל טוב.",block
שאלה בנוגע לדפי נחיתה,support
מתעניין במערכתwww.beit-hagefen.com,sales
אני מבקשת להסיר אותח מקבלת מיילים או כל חומר שהוא מכם ומחברת 'דה לוק' תודה,block
אשמח להצעת מחיר,sales
היילאחרונה אני מקבל ממכם הה ספאם (איתי פז וכל השאר)לכן אני מסמן את כולם בספאם (בגימייל)שיהיה לכם בהצלחה ותודה,block
"קבלתי חודשים חינם אצלכם להתרשם מהמערכת מטעם אתר ממון - אורי בריאלנט. יש לי קרוב ל1000 כתובות מייל.הבנתי שאפשר לבדוק אם המערכת טובה לי רק על 20 או 100 כתובות, אז איך אפשר לבדוק האם המערכת טובה לי?",sales
"שלום לכםשאלה: אתר העסק שלי בהקמה. בדף הבית שלו יהיה לחצן ""צור קשר"" + מיקומים לרישום דוא""ל ע""י הלקוחות.האם מערכת ""ישראטק"" ניתנת לתכנות/שילוב באמצעי הקשר הנ""ל באתר,או שיש ליצור התאמה מיוחדת/נפרדת להתקנת הישראטק באתר ? גדי.",support
"האם יש לכם מערכת ממשק אוטומטי, כך שכל אמייל הנשם במערכת התפוצה של האתר שלנו נרשם גם אצלכם?האם יש תשלום שנתי מופחת? יש לנו רשימת תפוצה של כ 4,000 איש ואנחנו שולחים ניוזלטר פעם בחודשים. בנוסף יש מערכת מענה אוטומטי במספרים מאוד נמוכים.",sales
"אבקש להסיר אותי מכל רשימות התפוצה של כל הלקוחות שלכם, משום מה הכתובות שלי עוברות אצלכם בלי שנרשמתי לאף אחת מהרשימות. מעין סחר בכתובות מייל על חשבוני.הסירו מיד!",block
"אבקש להסיר אותי מכל רשימות התפוצה של כל הלקוחות שלכם, משום מה הכתובות שלי עוברות אצלכם בלי שנרשמתי לאף אחת מהרשימות. מעין סחר בכתובות מייל על חשבוני.הסירו מיד!",block
"אבקש להסיר אותי מכל רשימות התפוצה של כל הלקוחות שלכם, משום מה הכתובות שלי עוברות אצלכם בלי שנרשמתי לאף אחת מהרשימות. מעין סחר בכתובות מייל על חשבוני.הסירו מיד!",block
"אבקש להסיר אותי מכל רשימות התפוצה של כל הלקוחות שלכם, משום מה הכתובות שלי עוברות אצלכם בלי שנרשמתי לאף אחת מהרשימות. מעין סחר בכתובות מייל על חשבוני.הסירו מיד!",block
"אבקש להסיר אותי מכל רשימות התפוצה של כל הלקוחות שלכם, משום מה הכתובות שלי עוברות אצלכם בלי שנרשמתי לאף אחת מהרשימות. מעין סחר בכתובות מייל על חשבוני.הסירו מיד!",block
"אבקש להסיר אותי מכל רשימות התפוצה של כל הלקוחות שלכם, משום מה הכתובות שלי עוברות אצלכם בלי שנרשמתי לאף אחת מהרשימות. מעין סחר בכתובות מייל על חשבוני.הסירו מיד!",block
"אבקש להסיר אותי מכל רשימות התפוצה של כל הלקוחות שלכם, משום מה הכתובות שלי עוברות אצלכם בלי שנרשמתי לאף אחת מהרשימות. מעין סחר בכתובות מייל על חשבוני.הסירו מיד!",block
"שלום ,אני מקבל מהלקוחות שלכם דואר זבל בלי הפסקה.אני מבקש להפסיק לשלוח אליי כל דואר מכל הלקוחות שלכם.במילים פשוטות - לא רוצה לקבל שום דואר בשום צורה.במידה ומשלוח המיילים לא ייפסק, אפנה לארכאות משפטיות בהתאם ל ""חוק הספאם"".מיכאל.",block
"הייתי בהרצא השל איתמר בן חור ונרשמתי לחודשיים ניסיון בחינם שהבטחתם לנרשמים במהלך הסדנא ועד כה לא יצרתם איתי קשר.אני מבקש להתחבר לחודשיים ניסיון.תודה,עמיר",sales
"אני רוצה להשתמש בישראטק עם אתר שאני בונה בwix.com. האם זה אפשרי?תודה ,ערן.",support
"שלום ,השתתפתי בקורס וידיאו טרפיק פורמולה, בפברואר, לא הצלחתי לצערי לתרגל מספיק לצערי ולכן רציתי לבקש עוד תקופת ניסיון במערכת .בתודה יפה מוזס",sales
מעוניין לשלוח מיליון בחודש אבקש הצעת מחיר,sales
"מעוניין לשמוע על מערכת הדיוור האלקט בשביל האתר שלי.אשמח אם תחזרו אלי,דור איינהורן,קרחניסט כרטיסים בע""מ",sales
"נא למחוק אותי באופן מידי מהמערכת שלכם. אתם מדוורים אותי בכל פעם מחדש מלקוחות אחרים שלכם. אתם פוגעים בי , אתם ישראטק עוברים על החוק !!! פניתי מספר  של פעמים שתמחקו אותי מכל הרישמות שלכם ואתם לא עושים כלום בנידון.זוהי התראה אחרונה לפני פניה להליכים נגדכ",block
לא ברור לי מהסיור האם כששולחים מיל לקבוצה כולם רואים את כל הכתובות .או שכל אחד ממוען בניפרד.אני אישית אינני פותח מייל כזה תשובתכם.תודה מראש יש לי חשבון חדש אצלכםארנון,support
אודה אם תצרו עימי קשר,sales
מעוניין לקבל הסבר על השימוש במערכת והצעת מחיר.,sales
מעוניינת לשלוח מיילים באמצעות ישראטק. אנא צרו עמי קשר בהקדם. יש לי נפח של 6000 מיילים לשליחה פעם בשבוע. בסופו של דבר לא הצלחתי להתנסות בשבועיים מפאת חוסר זמן. אשמח שתצרו עמי קשר בהקדם האפשרי,sales
"יש לי את הספר ""גם בלונדיניות יכולות"" אשר בסופו יש קישור אשר מעניק 3 חודשים התנסות חינם. למרות ששלחתי את הטופס לא קיבלתי כל תגובה. האם זה בתוקף?",sales
מעוניין לרכוש רשימות תפוצה במייל.,sales
